Year,Month&Quarter,Occ_rate,Occ_yoy,Guests_total,Guests_yoy,Total_vis,Vis_yoy,Thai_vis,Thai_vis_yoy,Foreign_vis,Foreign_vis_yoy,Rev_total,Rev_yoy,Rev_thai,Rev_thai_yoy,Rev_foreign,Rev_foreign_yoy,MotoGP,Covid,Marathon,PhanomRung_Festival,Football_Month,Football_date,Football_match
2568,มกราคม,78.13,1.48,"157,328",1.56,"325,805",1.6,"318,706",1.17,"7,099",25.07,797,1.7,775.9,1.17,21.4,25.03,0,0,1,0,มกราคม,9/1/2025,บุรีรัมย์ ยูไนเต็ด - บอร์เนียว เอฟซี
2568,มกราคม,,,,,,,,,,,,,,,,,,,,,มกราคม,15/1/2025,บุรีรัมย์ ยูไนเต็ด - เชียงราย ยูไนเต็ด
2568,มกราคม,,,,,,,,,,,,,,,,,,,,,มกราคม,19/1/2025,บุรีรัมย์ ยูไนเต็ด - ขอนแก่น ยูไนเต็ด
2568,กุมภาพันธ์,75.87,3.02,"152,106",2.56,"316,463",3.09,"308,808",2.23,"7,655",55.56,771,2.74,748.9,1.84,21.9,47.54,1,0,0,0,กุมภาพันธ์,2/2/2025,บุรีรัมย์ ยูไนเต็ด - การท่าเรือ เอฟซี
2568,กุมภาพันธ์,,,,,,,,,,,,,,,,,,,,,กุมภาพันธ์,6/2/2025,บุรีรัมย์ ยูไนเต็ด - กัวลาลัมเปอร์ ซิตี้ เอฟซี
2568,กุมภาพันธ์,,,,,,,,,,,,,,,,,,,,,กุมภาพันธ์,12/2/2025,บุรีรัมย์ ยูไนเต็ด - อุลซาน ฮุนได เอฟซี
2568,กุมภาพันธ์,,,,,,,,,,,,,,,,,,,,,กุมภาพันธ์,26/2/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,มีนาคม,90.3,19.2,"178,693",23.71,"370,131",23.82,"361,075",22.47,"9,056",120.82,906,24.14,879,22.47,27.3,121.02,1,0,0,0,มีนาคม,4/3/2025,บุรีรัมย์ ยูไนเต็ด - ยะโฮร์ ดารุล ทักซิม
2568,มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,16/3/2025,บุรีรัมย์ ยูไนเต็ด - นครราชสีมา มาสด้า เอฟซี
2568,มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,29/3/2025,บุรีรัมย์ ยูไนเต็ด - ระยอง เอฟซี
2568,เมษายน,83.49,8.48,"180,871",13.05,"334,006",3.95,"324,943",3.09,"9,063",48.53,801,11.89,771.4,10.58,29.6,61.8,0,0,0,1,เมษายน,2/4/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,เมษายน,,,,,,,,,,,,,,,,,,,,,เมษายน,9/4/2025,บุรีรัมย์ ยูไนเต็ด - เชียงราย ยูไนเต็ด
2568,เมษายน,,,,,,,,,,,,,,,,,,,,,เมษายน,12/4/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,เมษายน,,,,,,,,,,,,,,,,,,,,,เมษายน,30/4/2025,บุรีรัมย์ ยูไนเต็ด - หนองบัว พิชญ เอฟซี
2568,พฤษภาคม,75.84,4.44,"159,009",7.45,"306,198",3.06,"300,006",2.74,"6,192",21.1,698,5.46,677.9,4.9,19.8,29.09,0,0,0,0,พฤษภาคม,10/5/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,พฤษภาคม,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,21/5/2025,บุรีรัมย์ ยูไนเต็ด - คองอัน ฮานอย เอฟซี
2568,มิถุนายน,74.81,1.92,"158,630",1.71,"313,433",0.12,"308,976",0.2,"4,457",-4.87,714,2.46,699.7,2.52,14,-0.57,0,0,0,0,มิถุนายน,,
